@relation DM_predicao_dataset

@attribute data date "dd/mm/yyyy"
@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
01/01/2002,ter,10719
02/01/2002,qua,12398
03/01/2002,qui,12719
04/01/2002,sex,12980
05/01/2002,sab,12009
06/01/2002,dom,10493
07/01/2002,seg,11989
08/01/2002,ter,12120
09/01/2002,qua,11988
10/01/2002,qui,10643
11/01/2002,sex,12113
12/01/2002,sab,11843
13/01/2002,dom,10708
14/01/2002,seg,12397
15/01/2002,ter,12560
16/01/2002,qua,12738
17/01/2002,qui,12732
18/01/2002,sex,12688
19/01/2002,sab,11425
20/01/2002,dom,10388
21/01/2002,seg,12161
22/01/2002,ter,12356
23/01/2002,qua,12667
24/01/2002,qui,12857
25/01/2002,sex,12813
26/01/2002,sab,11985
27/01/2002,dom,10700
28/01/2002,seg,12715
29/01/2002,ter,13063
30/01/2002,qua,13017
31/01/2002,qui,13030
01/02/2002,sex,12733
02/02/2002,sab,11741
03/02/2002,dom,10529
04/02/2002,seg,12434
05/02/2002,ter,12628
06/02/2002,qua,12732
07/02/2002,qui,12779
08/02/2002,sex,12544
09/02/2002,sab,11330
10/02/2002,dom,10609
11/02/2002,seg,11145
12/02/2002,ter,10466
13/02/2002,qua,11907
14/02/2002,qui,12746
15/02/2002,sex,12829
16/02/2002,sab,12596
17/02/2002,dom,11111
18/02/2002,seg,13203
19/02/2002,ter,13517
20/02/2002,qua,13588
21/02/2002,qui,13681
22/02/2002,sex,13822
23/02/2002,sab,12879
24/02/2002,dom,11727
25/02/2002,seg,13470
26/02/2002,ter,13591
27/02/2002,qua,13774
28/02/2002,qui,13632
01/03/2002,sex,13483
02/03/2002,sab,12115
03/03/2002,dom,10640
04/03/2002,seg,12352
05/03/2002,ter,12672
06/03/2002,qua,12825
07/03/2002,qui,13009
08/03/2002,sex,12992
09/03/2002,sab,11950
10/03/2002,dom,10969
11/03/2002,seg,12617
12/03/2002,ter,13106
13/03/2002,qua,13307
14/03/2002,qui,13514
15/03/2002,sex,13535
16/03/2002,sab,12225
17/03/2002,dom,10895
18/03/2002,seg,13100
19/03/2002,ter,13057
20/03/2002,qua,13414
21/03/2002,qui,13539
22/03/2002,sex,13364
23/03/2002,sab,12159
24/03/2002,dom,11004
25/03/2002,seg,13269
26/03/2002,ter,13435
27/03/2002,qua,13514
28/03/2002,qui,12955
29/03/2002,sex,10694
30/03/2002,sab,11651
31/03/2002,dom,10842
01/04/2002,seg,13164
02/04/2002,ter,13486
03/04/2002,qua,13354
04/04/2002,qui,13372
05/04/2002,sex,13232
06/04/2002,sab,12214
07/04/2002,dom,11100
08/04/2002,seg,13390
09/04/2002,ter,13774
10/04/2002,qua,13484
11/04/2002,qui,13373
12/04/2002,sex,13085
13/04/2002,sab,12347
14/04/2002,dom,11337
15/04/2002,seg,13404
16/04/2002,ter,13065
17/04/2002,qua,13435
18/04/2002,qui,13780
19/04/2002,sex,13633
20/04/2002,sab,12574
21/04/2002,dom,11245
22/04/2002,seg,13125
23/04/2002,ter,13222
24/04/2002,qua,13192
25/04/2002,qui,13098
26/04/2002,sex,13452
27/04/2002,sab,12219
