@RELATION 'lattices - 15best'
@ATTRIBUTE data numeric
@ATTRIBUTE fluxo NUMERIC
@DATA
01,375014
02,349743
03,388203
04,388084
05,408514
06,392837
07,412075
08,429992
09,425307
10,442237
11,429063
12,436656
01,375016
02,349746
03,388202
04,388083
05,408512
06,392832
07,412075
08,429987
09,425309
10,442236
11,429062
12,436654
01,375019
02,349719
03,388200
04,388085
05,408513
06,392832
07,412074
08,429988
09,425305
10,442236
11,429062
12,436655
01,375015
02,349740
03,388204
04,388081
05,408513
06,392835
07,412076
08,429990
09,425309
10,442237
11,429065
12,436655
01,375017
02,349744
03,388204
04,388082
05,408512
06,392834
07,412075
08,429992
09,425304
10,442236
11,429059
12,436653
