@relation DM_predicao_dataset-weka.filters.unsupervised.attribute.Remove-R1

@attribute dia {ter,qua,qui,sex,sab,dom,seg}
@attribute fluxo numeric

@data
ter,10719
qua,12398
qui,12719
sex,12980
sab,12009
dom,10493
seg,11989
ter,12120
qua,11988
qui,10643
sex,12113
sab,11843
dom,10708
seg,12397
ter,12560
qua,12738
qui,12732
sex,12688
sab,11425
dom,10388
seg,12161
ter,12356
qua,12667
qui,12857
sex,12813
sab,11985
dom,10700
seg,12715
ter,13063
qua,13017
qui,13030
sex,12733
sab,11741
dom,10529
seg,12434
ter,12628
qua,12732
qui,12779
sex,12544
sab,11330
dom,10609
seg,11145
ter,10466
qua,11907
qui,12746
sex,12829
sab,12596
dom,11111
seg,13203
ter,13517
qua,13588
qui,13681
sex,13822
sab,12879
dom,11727
seg,13470
ter,13591
qua,13774
qui,13632
sex,13483
sab,12115
dom,10640
seg,12352
ter,12672
qua,12825
qui,13009
sex,12992
sab,11950
dom,10969
seg,12617
ter,13106
qua,13307
qui,13514
sex,13535
sab,12225
dom,10895
seg,13100
ter,13057
qua,13414
qui,13539
sex,13364
sab,12159
dom,11004
seg,13269
ter,13435
qua,13514
qui,12955
sex,10694
sab,11651
dom,10842
seg,13164
ter,13486
qua,13354
qui,13372
sex,13232
sab,12214
dom,11100
seg,13390
ter,13774
qua,13484
qui,13373
sex,13085
sab,12347
dom,11337
seg,13404
ter,13065
qua,13435
qui,13780
sex,13633
sab,12574
dom,11245
seg,13125
ter,13222
qua,13192
qui,13098
sex,13452
sab,12219
dom,11109
seg,13395
ter,13424
qua,11480
qui,13461
sex,13538
sab,12507
dom,11442
seg,13496
ter,13764
qua,13642
qui,13362
sex,13611
sab,12725
dom,11317
seg,13546
ter,13917
qua,13906
qui,13892
sex,13884
sab,12696
dom,11602
seg,13867
ter,14112
qua,14099
qui,14091
sex,13855
sab,12582
dom,11485
seg,13683
ter,13855
qua,13795
qui,11849
sex,13453
sab,12475
dom,11340
seg,13531
ter,13848
qua,13925
qui,13910
sex,13704
sab,12159
dom,11286
seg,13682
ter,13938
qua,13862
qui,13712
sex,13574
sab,12391
dom,11316
seg,12614
ter,13516
qua,13709
qui,13688
sex,13723
sab,12559
dom,11466
seg,13800
ter,14024
qua,13147
qui,13757
sex,13854
sab,12897
dom,11430
seg,13024
ter,13560
qua,13802
qui,13892
sex,13914
sab,12747
dom,11755
seg,13770
ter,13960
qua,13980
qui,13944
sex,13674
sab,12562
dom,11475
seg,13591
ter,13920
qua,13981
qui,13790
sex,13504
sab,12440
dom,11025
seg,13522
ter,13924
qua,14058
qui,13905
sex,13465
sab,12213
dom,11249
seg,13689
ter,13910
qua,13830
qui,13900
sex,13837
sab,12978
dom,11830
seg,13996
ter,14261
qua,14260
qui,14282
sex,14369
sab,13288
dom,11905
seg,14227
ter,14552
qua,14458
qui,13033
sex,13716
sab,13185
dom,11970
seg,14313
ter,14547
qua,14805
qui,14666
sex,14656
sab,13374
dom,12294
seg,14590
ter,14784
qua,14834
qui,14832
sex,14774
sab,13476
dom,12203
seg,14603
ter,14733
qua,14576
qui,14417
sex,14500
sab,12520
dom,12086
seg,14565
ter,14883
qua,14709
qui,14811
sex,14752
sab,13570
dom,12423
seg,14664
ter,14871
qua,14952
qui,15047
sex,15074
sab,13852
dom,12572
seg,14915
ter,14988
qua,14934
qui,15021
sex,15014
sab,13481
dom,12183
seg,14388
ter,14636
qua,14849
qui,14940
sex,14978
sab,13563
dom,12103
seg,14484
ter,14936
qua,15050
qui,15175
sex,15000
sab,13113
dom,11989
seg,14324
ter,14551
qua,14731
qui,14818
sex,14660
sab,13454
dom,12155
seg,14611
ter,14953
qua,14934
qui,14948
sex,14843
sab,13593
dom,12151
seg,13675
ter,15016
qua,14974
qui,15030
sex,14862
sab,13028
dom,11573
seg,14439
ter,14762
qua,14786
qui,14986
sex,14943
sab,13435
dom,12137
seg,14559
ter,14991
qua,15144
qui,15043
sex,13231
sab,13428
dom,12274
seg,14540
ter,14988
qua,14974
qui,15146
sex,15117
sab,13824
dom,12614
seg,14912
ter,15238
qua,15314
qui,15330
sex,15358
sab,14087
dom,12789
seg,14866
ter,15112
qua,15317
qui,15410
sex,15339
sab,14171
dom,12610
seg,14185
ter,14097
qua,14472
qui,14823
sex,14883
sab,13814
dom,12819
seg,15101
ter,15216
qua,15045
qui,14783
sex,14518
sab,13398
dom,12606
seg,14426
ter,13877
qua,11984
qui,14009
sex,14127
sab,13194
dom,12293
seg,13922
ter,13450
qua,10385
qui,12064
sex,12511
sab,11866
dom,10990
seg,12905
ter,13150
qua,13080
qui,13032
sex,12924
sab,11859
dom,10732
seg,12721
ter,12870
qua,12906
qui,12964
sex,12850
sab,11756
dom,10465
seg,12212
ter,12268
qua,12169
qui,12145
sex,12294
sab,11496
dom,10373
seg,11897
ter,11776
qua,12095
qui,12246
sex,12015
sab,11587
dom,10342
seg,12481
ter,12863
qua,12989
qui,12997
sex,13197
sab,12184
dom,10981
seg,12736
ter,13232
qua,13270
qui,13055
sex,12836
sab,12592
dom,10926
seg,11179
ter,12991
qua,13071
qui,13025
sex,13098
sab,12153
dom,10847
seg,12593
ter,13034
qua,13248
qui,13207
sex,13032
sab,11853
dom,10821
seg,11721
ter,10998
qua,12097
qui,12864
sex,12997
sab,12008
dom,11051
seg,12999
ter,13415
qua,13458
qui,13074
sex,13012
sab,11854
dom,11021
seg,12917
ter,13219
qua,13241
qui,13583
sex,13580
sab,12024
dom,10809
seg,13387
ter,13534
qua,13254
qui,13389
sex,13411
sab,12278
dom,11198
seg,13135
ter,13484
qua,13278
qui,13416
sex,13488
sab,12400
dom,11173
seg,13261
ter,13670
qua,13605
qui,13557
sex,13674
sab,12687
dom,11595
seg,13561
ter,13489
qua,13641
qui,13088
sex,10978
sab,11743
dom,11149
seg,11603
ter,13801
qua,13728
qui,13679
sex,13647
sab,12312
dom,11366
seg,13343
ter,13819
qua,13848
qui,11462
sex,13012
sab,12252
dom,11273
seg,13046
ter,13199
qua,13546
qui,13964
sex,13979
sab,12699
dom,11431
seg,13632
ter,13604
qua,13720
qui,13613
sex,13526
sab,12440
dom,11342
seg,13596
ter,13866
qua,13852
qui,14019
sex,14152
sab,13000
dom,11819
seg,13986
ter,14014
qua,13936
qui,14013
sex,13947
sab,12572
dom,11279
seg,13355
ter,13689
qua,13796
qui,13700
sex,13685
sab,12659
dom,11476
seg,13522
ter,13837
qua,13869
qui,13958
sex,13763
sab,12637
dom,11491
seg,13502
ter,13416
qua,13511
qui,11652
sex,13480
sab,12481
dom,11289
seg,13503
ter,13736
qua,13873
qui,13974
sex,13907
sab,12670
dom,11487
seg,13635
ter,14079
qua,13512
qui,13563
sex,13539
sab,12449
dom,11376
seg,13524
ter,13774
qua,13893
qui,13985
sex,13662
sab,12476
dom,11479
seg,13573
ter,13699
qua,13881
qui,13961
sex,13764
sab,12507
dom,11422
seg,13623
ter,13810
qua,13906
qui,13952
sex,13788
sab,12433
dom,11090
seg,13359
ter,13881
qua,14039
qui,14076
sex,14350
sab,13208
dom,12011
seg,14168
ter,14464
qua,14615
qui,14702
sex,14519
sab,13259
dom,11923
seg,14263
ter,14760
qua,14700
qui,14732
sex,13165
sab,13040
dom,11934
seg,14267
ter,14170
qua,14312
qui,14751
sex,14941
sab,13570
dom,12371
seg,14691
ter,14585
qua,14704
qui,14523
sex,14462
sab,13073
dom,11754
seg,13987
ter,14413
qua,14559
qui,14629
sex,14585
sab,13345
dom,12128
seg,14681
ter,15081
qua,15066
qui,14858
sex,14639
sab,13255
dom,12098
seg,14458
ter,14307
qua,14556
qui,14787
sex,14927
sab,13404
dom,12035
seg,14712
ter,14999
qua,14899
qui,14821
sex,14774
sab,13386
dom,12144
seg,14783
ter,14993
qua,15110
qui,14905
sex,14763
sab,13510
dom,12285
seg,14655
ter,14895
qua,15028
qui,15073
sex,14955
sab,13592
dom,12208
seg,14574
ter,15168
qua,14723
qui,14962
sex,14560
sab,13189
dom,11702
seg,14757
ter,14960
qua,14879
qui,14852
sex,14802
sab,13493
dom,12292
seg,13465
ter,14502
qua,14877
qui,14854
sex,14646
sab,13621
dom,12268
seg,14665
ter,14885
qua,14728
qui,15029
sex,15271
sab,13759
dom,12309
seg,14618
ter,15082
qua,15300
qui,15145
sex,15018
sab,13133
dom,12407
seg,14708
ter,14973
qua,14992
qui,14937
sex,14963
sab,13721
dom,12335
seg,14640
ter,15027
qua,15146
qui,15147
sex,15087
sab,13674
dom,12474
seg,14778
ter,14973
qua,15094
qui,15180
sex,15273
sab,13948
dom,12666
seg,13752
ter,15165
qua,15212
qui,15298
sex,14975
sab,13447
dom,12046
seg,14394
ter,14796
qua,14939
qui,14825
sex,14611
sab,13481
dom,12321
seg,14430
ter,14693
qua,13898
qui,12131
sex,13663
sab,13002
dom,11886
seg,13750
ter,14232
qua,13795
qui,10662
sex,11680
sab,11494
dom,10818
seg,12647
ter,13052
qua,11669
qui,13306
sex,13137
sab,12163
dom,10974
seg,12727
ter,12842
qua,12623
qui,12869
sex,12892
sab,11208
dom,10194
seg,12422
ter,12725
qua,11961
qui,12822
sex,12544
sab,11223
dom,10314
seg,12490
ter,12875
qua,12920
qui,12530
sex,12051
sab,11185
dom,10605
seg,12628
ter,12862
qua,12492
qui,12446
sex,12593
sab,11468
dom,10298
seg,12169
ter,12698
qua,12925
qui,12958
sex,12987
sab,12365
dom,10413
seg,12479
ter,12924
qua,12995
qui,12919
sex,12737
sab,11734
dom,10474
seg,11130
ter,10675
qua,11983
qui,12686
sex,12533
sab,11764
dom,10779
seg,12649
ter,13172
qua,13470
qui,13425
sex,13199
sab,11909
dom,10797
seg,12844
ter,12926
qua,12915
qui,13118
sex,13146
sab,11842
dom,10879
seg,12855
ter,13085
qua,12843
qui,12668
sex,12806
sab,11868
dom,10958
seg,13016
ter,12899
qua,12991
qui,12937
sex,12607
sab,11584
dom,10645
seg,12306
ter,12816
qua,13025
qui,14006
sex,13957
sab,13041
dom,11894
seg,14143
ter,14247
qua,13819
qui,13208
sex,11189
sab,12155
dom,11502
seg,13536
ter,7513
qua,7742
qui,13789
sex,13992
sab,12863
dom,11525
seg,13932
ter,14096
qua,12258
qui,14376
sex,14167
sab,12799
dom,11471
seg,13693
ter,13932
qua,14395
qui,14396
sex,14449
sab,11719
dom,11170
seg,13470
ter,13499
qua,13525
qui,13640
sex,13539
sab,12258
dom,11025
seg,13366
ter,13884
qua,14025
qui,14035
sex,14129
sab,12970
dom,11719
seg,14024
ter,14223
qua,14156
qui,14159
sex,13697
sab,12531
dom,11419
seg,13698
ter,13919
qua,14048
qui,14180
sex,13739
sab,12292
dom,11095
seg,13360
ter,13549
qua,13824
qui,13712
sex,13853
sab,12521
dom,11186
seg,13407
ter,13739
qua,13696
qui,11587
sex,13294
sab,12502
dom,11351
seg,13392
ter,13588
qua,13662
qui,13707
sex,13603
sab,12332
dom,11202
seg,13457
ter,13520
qua,13687
qui,14025
sex,13871
sab,12544
dom,11174
seg,13477
ter,13693
qua,13677
qui,14100
sex,13978
sab,12670
dom,11628
seg,13635
ter,14087
qua,14078
qui,13869
sex,13697
sab,12554
dom,11504
seg,13787
ter,14128
qua,14243
qui,14045
sex,13738
sab,12372
dom,10887
seg,12949
ter,13590
qua,13899
qui,13794
sex,13392
sab,12221
dom,11341
seg,13600
ter,13802
qua,13772
qui,13979
sex,13968
sab,12767
dom,11617
seg,13981
ter,14341
qua,14449
qui,14284
sex,14320
sab,12613
dom,11414
seg,14157
ter,14504
qua,14301
qui,14222
sex,14268
sab,13176
dom,11943
seg,14421
ter,14761
qua,14862
qui,14717
sex,14660
sab,13183
dom,11859
seg,14215
ter,14502
qua,14702
qui,14723
sex,14722
sab,13348
dom,12173
seg,14672
ter,14878
qua,14540
qui,14708
sex,14629
sab,13274
dom,12115
seg,13898
ter,12370
qua,14663
qui,14864
sex,14879
sab,13673
dom,12071
seg,14217
ter,14655
qua,15056
qui,14846
sex,14706
sab,13426
dom,12223
seg,14798
ter,15161
qua,15144
qui,15132
sex,15245
sab,13657
dom,12292
seg,14668
ter,14841
qua,14828
qui,14726
sex,14480
sab,13426
dom,12013
seg,14287
ter,14894
qua,14968
qui,14915
sex,15022
sab,13673
dom,12210
seg,14439
ter,12934
qua,15366
qui,15553
sex,15502
sab,14161
dom,12595
seg,15129
ter,15386
qua,15282
qui,15271
sex,15155
sab,13809
dom,12362
seg,14237
ter,15042
qua,14664
qui,14743
sex,14955
sab,13577
dom,12186
seg,13974
ter,11575
qua,14574
qui,14874
sex,15007
sab,13800
dom,12412
seg,14690
ter,15017
qua,14963
qui,14913
sex,15087
sab,13775
dom,12388
seg,12464
ter,14724
qua,15106
qui,15316
sex,15319
sab,14031
dom,12581
seg,14901
ter,15305
qua,15131
qui,15191
sex,14997
sab,13733
dom,12533
seg,15189
ter,15492
qua,15168
qui,15230
sex,15113
sab,13829
dom,12605
seg,14872
ter,15276
qua,13982
qui,15054
sex,15083
